state,year,month,age_group,deaths,population,daily_chance_to_die,days_in_month
Alabama,2021,09,35-39 years,141,310540,1.5134926257486958e-5,30
Alabama,2021,09,40-44 years,189,306954,2.0524247932915028e-5,30
Alabama,2021,09,45-49 years,257,300011,2.855450855690847e-5,30
Alabama,2021,09,50-54 years,378,318776,3.9526187667829445e-5,30
Alabama,2021,09,55-59 years,557,333875,5.560963434419069e-5,30
Alabama,2021,09,60-64 years,691,331923,6.939360433996238e-5,30
Alabama,2021,09,65-69 years,776,291134,8.884797607516355e-5,30
Alabama,2021,09,70-74 years,856,245537,1.1620787634178692e-4,30
Alabama,2021,09,75-79 years,754,160176,1.5691073152865182e-4,30
Alabama,2021,09,80-84 years,776,103093,2.5090613976377316e-4,30
Alabama,2021,09,85+ years,1224,92745,4.399158984311823e-4,30
Alabama,2021,04,10-14 years,0,322310,0,30
Alabama,2021,04,15-19 years,25,332610,2.5054367978513373e-6,30
Alabama,2021,04,20-24 years,54,351850,5.115816399033679e-6,30
Alabama,2021,04,25-29 years,52,324479,5.34189680482661e-6,30
Alabama,2021,04,30-34 years,77,330321,7.770219473380943e-6,30
Alabama,2021,04,35-39 years,87,310540,9.338571520577059e-6,30
Alabama,2021,04,40-44 years,119,306954,1.2922674624427982e-5,30
Alabama,2021,04,45-49 years,169,300011,1.877708928450401e-5,30
Alabama,2021,04,50-54 years,195,318776,2.0390493638165984e-5,30
Alabama,2021,04,55-59 years,287,333875,2.8653438162985148e-5,30
Alabama,2021,04,60-64 years,465,331923,4.669757745019176e-5,30
Alabama,2021,04,65-69 years,560,291134,6.411709613671596e-5,30
Alabama,2021,04,70-74 years,635,245537,8.620560920214333e-5,30
Alabama,2021,04,75-79 years,615,160176,1.27984217360903e-4,30
Alabama,2021,04,80-84 years,589,103093,1.904429334031732e-4,30
Alabama,2021,04,85+ years,1070,92745,3.8456700271353355e-4,30
Alabama,2021,08,10-14 years,0,322310,0,31
Alabama,2021,08,15-19 years,25,332610,2.424616255985165e-6,31
Alabama,2021,08,20-24 years,39,351850,3.575570601475152e-6,31
Alabama,2021,08,25-29 years,67,324479,6.660801847209358e-6,31
Alabama,2021,08,30-34 years,110,330321,1.0742238903291626e-5,31
Alabama,2021,08,35-39 years,150,310540,1.5581598755134136e-5,31
Alabama,2021,08,40-44 years,201,306954,2.1123265921740507e-5,31
Alabama,2021,08,45-49 years,241,300011,2.5913028350250815e-5,31
Alabama,2021,08,50-54 years,381,318776,3.855472990640814e-5,31
Alabama,2021,08,55-59 years,468,333875,4.521684520718349e-5,31
Alabama,2021,08,60-64 years,702,331923,6.822414020818858e-5,31
Alabama,2021,08,65-69 years,743,291134,8.232546502807598e-5,31
Alabama,2021,08,70-74 years,831,245537,1.0917479488998899e-4,31
Alabama,2021,08,75-79 years,752,160176,1.5144631228229593e-4,31
Alabama,2021,08,80-84 years,800,103093,2.5032205496884586e-4,31
Alabama,2021,08,85+ years,1296,92745,4.5076771376250177e-4,31
Alabama,2021,11,10-14 years,0,322310,0,30
Alabama,2021,11,15-19 years,25,332610,2.5054367978513373e-6,30
Alabama,2021,11,20-24 years,25,351850,2.3684335180711477e-6,30
Alabama,2021,11,25-29 years,41,324479,4.211880173036365e-6,30
Alabama,2021,11,30-34 years,78,330321,7.871131414593683e-6,30
Alabama,2021,11,35-39 years,77,310540,8.265172495223374e-6,30
Alabama,2021,11,40-44 years,109,306954,1.1836735580358404e-5,30
Alabama,2021,11,45-49 years,136,300011,1.5110557057352341e-5,30
Alabama,2021,11,50-54 years,208,318776,2.1749859880710385e-5,30
Alabama,2021,11,55-59 years,309,333875,3.0849868962935234e-5,30
Alabama,2021,11,60-64 years,449,331923,4.50907790863142e-5,30
Alabama,2021,11,65-69 years,547,291134,6.262866354782791e-5,30
Alabama,2021,11,70-74 years,680,245537,9.231466812198026e-5,30
Alabama,2021,11,75-79 years,643,160176,1.3381114107814738e-4,30
Alabama,2021,11,80-84 years,642,103093,0.00020757956408291541,30
Alabama,2021,11,85+ years,1111,92745,3.9930274767732314e-4,30
Alabama,2021,NA,10-14 years,0,322310,0,31
Alabama,2021,NA,15-19 years,0,332610,0,31
Alabama,2021,NA,20-24 years,0,351850,0,31
Alabama,2021,NA,25-29 years,0,324479,0,31
Alabama,2021,NA,30-34 years,0,330321,0,31
Alabama,2021,NA,35-39 years,0,310540,0,31
Alabama,2021,NA,40-44 years,0,306954,0,31
Alabama,2021,NA,45-49 years,0,300011,0,31
Alabama,2021,NA,50-54 years,0,318776,0,31
Alabama,2021,NA,55-59 years,0,333875,0,31
Alabama,2021,NA,60-64 years,0,331923,0,31
Alabama,2021,NA,65-69 years,0,291134,0,31
Alabama,2021,NA,70-74 years,0,245537,0,31
Alabama,2021,NA,75-79 years,0,160176,0,31
Alabama,2021,NA,80-84 years,0,103093,0,31
Alabama,2021,NA,85+ years,0,92745,0,31
