File,Trial Site ID,Subjects Screened,Subjects Randomized
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1098,263,235
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1101,120,116
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1107,219,193
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1109,558,526
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1110,380,350
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1111,207,198
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1112,350,328
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1114,128,118
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1116,326,293
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1117,197,180
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1118,130,122
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1120,434,345
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1121,122,98
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1122,57,48
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1123,522,489
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1124,275,257
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1125,255,217
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1126,326,319
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1127,114,100
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1128,385,359
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1129,263,245
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1130,98,98
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1131,302,269
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1133,650,530
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1134,438,417
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1135,566,513
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1136,111,100
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1139,262,248
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1140,400,364
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1141,265,252
